"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"1-4 years"	"1-4"	"Cut/Pierce"	"GRINJ-001"	18	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Drowning"	"GRINJ-002"	505	15339782	3.3
	"1999"	"1999"	"1-4 years"	"1-4"	"Fall"	"GRINJ-003"	58	15339782	0.4
	"1999"	"1999"	"1-4 years"	"1-4"	"Fire/Flame"	"GRINJ-004"	327	15339782	2.1
	"1999"	"1999"	"1-4 years"	"1-4"	"Hot object/Substance"	"GRINJ-005"	11	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Firearm"	"GRINJ-006"	65	15339782	0.4
	"1999"	"1999"	"1-4 years"	"1-4"	"Machinery"	"GRINJ-007"	10	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Motor Vehicle Traffic"	"GRINJ-008"	564	15339782	3.7
	"1999"	"1999"	"1-4 years"	"1-4"	"Other Pedal cyclist"	"GRINJ-009"	4	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Other Pedestrian"	"GRINJ-010"	100	15339782	0.7
	"1999"	"1999"	"1-4 years"	"1-4"	"Other land transport"	"GRINJ-011"	37	15339782	0.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Other transport"	"GRINJ-012"	14	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Natural/Environmental"	"GRINJ-013"	43	15339782	0.3
	"1999"	"1999"	"1-4 years"	"1-4"	"Poisoning"	"GRINJ-015"	46	15339782	0.3
	"1999"	"1999"	"1-4 years"	"1-4"	"Struck by or against"	"GRINJ-016"	47	15339782	0.3
	"1999"	"1999"	"1-4 years"	"1-4"	"Suffocation"	"GRINJ-017"	186	15339782	1.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Other specified, classifiable Injury"	"GRINJ-018"	81	15339782	0.5
	"1999"	"1999"	"1-4 years"	"1-4"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	52	15339782	0.3
	"1999"	"1999"	"1-4 years"	"1-4"	"Unspecified Injury"	"GRINJ-020"	149	15339782	1.0
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Intestinal infections"	"GR113 001-003"	9	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Tuberculosis"	"GR113 005-006"	2	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Meningococcal infection"	"GR113-009"	30	15339782	0.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Septicemia"	"GR113-010"	87	15339782	0.6
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Viral hepatitis"	"GR113-015"	3	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	24	15339782	0.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	81	15339782	0.5
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	418	15339782	2.7
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	63	15339782	0.4
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Anemias"	"GR113-045"	30	15339782	0.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Diabetes mellitus"	"GR113-046"	8	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	2	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Meningitis"	"GR113-050"	45	15339782	0.3
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	183	15339782	1.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	3	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	46	15339782	0.3
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	2	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	1	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	130	15339782	0.8
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	25	15339782	0.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	54	15339782	0.4
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	3	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	12	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	91	15339782	0.6
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Peptic ulcer"	"GR113-090"	2	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Diseases of appendix"	"GR113-091"	2	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Hernia"	"GR113-092"	3	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	2	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	15	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Infections of kidney"	"GR113-102"	1	15339782	Unreliable
