"Notes"	"Year"	"Year Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Cut/Pierce"	"GRINJ-001"	487	94835637	0.5
	"1999"	"1999"	"Drowning"	"GRINJ-002"	1588	94835637	1.7
	"1999"	"1999"	"Fall"	"GRINJ-003"	478	94835637	0.5
	"1999"	"1999"	"Fire/Flame"	"GRINJ-004"	865	94835637	0.9
	"1999"	"1999"	"Hot object/Substance"	"GRINJ-005"	14	94835637	Unreliable
	"1999"	"1999"	"Firearm"	"GRINJ-006"	7276	94835637	7.7
	"1999"	"1999"	"Machinery"	"GRINJ-007"	74	94835637	0.1
	"1999"	"1999"	"Motor Vehicle Traffic"	"GRINJ-008"	12112	94835637	12.8
	"1999"	"1999"	"Other Pedal cyclist"	"GRINJ-009"	51	94835637	0.1
	"1999"	"1999"	"Other Pedestrian"	"GRINJ-010"	385	94835637	0.4
	"1999"	"1999"	"Other land transport"	"GRINJ-011"	606	94835637	0.6
	"1999"	"1999"	"Other transport"	"GRINJ-012"	238	94835637	0.3
	"1999"	"1999"	"Natural/Environmental"	"GRINJ-013"	152	94835637	0.2
	"1999"	"1999"	"Overexertion"	"GRINJ-014"	2	94835637	Unreliable
	"1999"	"1999"	"Poisoning"	"GRINJ-015"	1608	94835637	1.7
	"1999"	"1999"	"Struck by or against"	"GRINJ-016"	248	94835637	0.3
	"1999"	"1999"	"Suffocation"	"GRINJ-017"	1735	94835637	1.8
	"1999"	"1999"	"Other specified, classifiable Injury"	"GRINJ-018"	375	94835637	0.4
	"1999"	"1999"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	308	94835637	0.3
	"1999"	"1999"	"Unspecified Injury"	"GRINJ-020"	584	94835637	0.6
	"1999"	"1999"	"Non-Injury: Intestinal infections"	"GR113 001-003"	20	94835637	0.0
	"1999"	"1999"	"Non-Injury: Tuberculosis"	"GR113 005-006"	16	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Meningococcal infection"	"GR113-009"	94	94835637	0.1
	"1999"	"1999"	"Non-Injury: Septicemia"	"GR113-010"	285	94835637	0.3
	"1999"	"1999"	"Non-Injury: Viral hepatitis"	"GR113-015"	20	94835637	0.0
	"1999"	"1999"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	288	94835637	0.3
	"1999"	"1999"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	250	94835637	0.3
	"1999"	"1999"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	3154	94835637	3.3
	"1999"	"1999"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	262	94835637	0.3
	"1999"	"1999"	"Non-Injury: Anemias"	"GR113-045"	204	94835637	0.2
	"1999"	"1999"	"Non-Injury: Diabetes mellitus"	"GR113-046"	195	94835637	0.2
	"1999"	"1999"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	11	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Meningitis"	"GR113-050"	113	94835637	0.1
	"1999"	"1999"	"Non-Injury: Parkinsons disease"	"GR113-051"	2	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Alzheimers disease"	"GR113-052"	1	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1529	94835637	1.6
	"1999"	"1999"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	17	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	293	94835637	0.3
	"1999"	"1999"	"Non-Injury: Atherosclerosis"	"GR113-071"	2	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	62	94835637	0.1
	"1999"	"1999"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	33	94835637	0.0
	"1999"	"1999"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	402	94835637	0.4
	"1999"	"1999"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	35	94835637	0.0
	"1999"	"1999"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	402	94835637	0.4
	"1999"	"1999"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	4	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	60	94835637	0.1
	"1999"	"1999"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	282	94835637	0.3
	"1999"	"1999"	"Non-Injury: Peptic ulcer"	"GR113-090"	4	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Diseases of appendix"	"GR113-091"	33	94835637	0.0
	"1999"	"1999"	"Non-Injury: Hernia"	"GR113-092"	8	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	30	94835637	0.0
	"1999"	"1999"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	11	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	118	94835637	0.1
	"1999"	"1999"	"Non-Injury: Infections of kidney"	"GR113-102"	6	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	4	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	8	94835637	Unreliable
	"1999"	"1999"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	89	94835637	0.1
	"1999"	"1999"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	151	94835637	0.2
	"1999"	"1999"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	1411	94835637	1.5
